               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10993,            0.030103,            0.068823,           0.0012159,             0.41667,            0.015546,           0.0035302,            0.048576,            0.024321,            0.045337,              0.0874,              0.0014,              0.0014
                   1,             0.07367,            0.030339,            0.066171,           0.0030239,             0.83333,             0.11164,             0.03551,            0.036722,             0.02119,            0.043634,            0.073871,           0.0028713,           0.0028713
                   2,            0.062581,            0.027767,            0.062639,           0.0035472,                   1,             0.17889,            0.069501,             0.03558,            0.017559,              0.0414,            0.060313,           0.0043129,           0.0043129
                   3,            0.058593,            0.025255,            0.058837,            0.011856,                   1,             0.42438,             0.18052,            0.045248,            0.013938,            0.040247,            0.046725,           0.0057248,           0.0057248
                   4,            0.057875,            0.022934,            0.057528,             0.57969,             0.16667,             0.42096,             0.10511,            0.044646,            0.010411,            0.036996,            0.033107,            0.007107,            0.007107
                   5,            0.055494,            0.020105,            0.053606,             0.56138,                0.25,             0.54899,             0.26223,            0.043731,            0.008754,            0.035385,            0.019459,           0.0084594,           0.0084594
                   6,            0.061067,            0.016791,            0.051951,             0.75943,             0.41667,             0.57867,             0.30691,            0.034454,            0.010422,             0.03522,            0.009406,            0.009406,            0.009406
                   7,            0.052684,            0.017515,            0.047769,             0.51168,                 0.5,             0.53065,             0.24502,            0.037836,           0.0092833,            0.031155,            0.009406,            0.009406,            0.009406
                   8,            0.054423,            0.016006,            0.045867,             0.70247,             0.58333,             0.80589,             0.32561,            0.042101,           0.0076587,            0.027759,            0.009307,            0.009307,            0.009307
                   9,            0.052794,            0.015386,            0.042928,             0.42828,             0.80788,             0.91208,             0.48238,             0.03117,           0.0066452,             0.02525,            0.009208,            0.009208,            0.009208
                  10,            0.052224,            0.013555,            0.041278,             0.63797,                0.75,              0.8112,             0.38948,            0.038065,            0.007309,            0.022897,            0.009109,            0.009109,            0.009109
                  11,            0.050228,            0.012703,            0.036595,             0.49652,             0.83333,             0.82917,             0.45038,              0.0343,           0.0064366,            0.020599,             0.00901,             0.00901,             0.00901
                  12,            0.049304,            0.013254,            0.035024,             0.65287,             0.66667,             0.77912,             0.33614,            0.037461,           0.0070152,            0.019038,            0.008911,            0.008911,            0.008911
                  13,            0.052631,            0.012161,            0.032206,             0.66275,             0.83333,             0.89826,             0.50394,            0.029042,           0.0068893,            0.016667,            0.008812,            0.008812,            0.008812
                  14,            0.050133,            0.012662,            0.030779,             0.54754,             0.83333,             0.93972,             0.55583,            0.027786,           0.0066905,            0.016763,            0.008713,            0.008713,            0.008713
                  15,            0.045417,            0.012197,            0.028411,             0.54198,             0.91667,             0.95354,             0.52016,            0.029217,           0.0069902,             0.01474,            0.008614,            0.008614,            0.008614
                  16,            0.047438,            0.011151,            0.027902,             0.56672,             0.91667,               0.995,             0.47078,            0.027443,           0.0064754,            0.013463,            0.008515,            0.008515,            0.008515
                  17,             0.04742,            0.010997,            0.026666,             0.57365,             0.87595,             0.95354,             0.55986,            0.028498,           0.0059927,            0.011499,            0.008416,            0.008416,            0.008416
                  18,            0.043981,            0.011552,            0.022343,              0.4985,             0.99975,             0.91208,             0.51389,            0.032922,           0.0061183,           0.0097115,            0.008317,            0.008317,            0.008317
                  19,            0.046842,            0.012314,            0.022985,             0.66042,                   1,               0.995,              0.6509,            0.025141,           0.0061522,           0.0099083,            0.008218,            0.008218,            0.008218
                  20,            0.042487,            0.010874,             0.02024,             0.75448,             0.91667,               0.995,              0.6661,            0.022153,           0.0059726,           0.0096794,            0.008119,            0.008119,            0.008119
                  21,            0.044504,            0.011494,            0.018799,             0.83456,             0.91667,               0.995,             0.63086,            0.024293,           0.0062871,            0.007592,             0.00802,             0.00802,             0.00802
                  22,            0.045295,            0.011492,             0.01562,             0.66006,             0.91667,               0.995,             0.64951,            0.025084,           0.0058701,           0.0060677,            0.007921,            0.007921,            0.007921
                  23,            0.043337,             0.01077,            0.016946,             0.77669,             0.91667,               0.995,              0.5894,            0.024729,           0.0056624,            0.004739,            0.007822,            0.007822,            0.007822
                  24,            0.043319,            0.010806,            0.012504,             0.70428,                   1,               0.995,             0.61773,            0.022003,           0.0059702,           0.0041325,            0.007723,            0.007723,            0.007723
                  25,            0.042306,              0.0109,            0.013639,             0.76975,                   1,             0.95354,             0.64727,            0.024263,           0.0054231,            0.003994,            0.007624,            0.007624,            0.007624
