               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.018868,            0.005383,           0.0028175,             0.94646,             0.98612,             0.98382,             0.85441,            0.013467,           0.0035291,           0.0018773,            0.006535,            0.006535,            0.006535
                  37,            0.018076,           0.0055077,           0.0029769,             0.95554,             0.98517,             0.98335,             0.87061,            0.013496,           0.0036535,           0.0017715,            0.006436,            0.006436,            0.006436
                  38,            0.017637,           0.0052523,           0.0027618,             0.96108,             0.98182,             0.97787,             0.84501,              0.0154,           0.0036832,           0.0017804,            0.006337,            0.006337,            0.006337
                  39,             0.01816,           0.0053215,           0.0027356,             0.95345,             0.98182,              0.9773,             0.83746,            0.014626,              0.0035,             0.00174,            0.006238,            0.006238,            0.006238
                  40,            0.017334,           0.0052354,           0.0026385,             0.95821,             0.97273,             0.97777,             0.87108,            0.012505,           0.0033689,           0.0017675,            0.006139,            0.006139,            0.006139
                  41,            0.017259,           0.0052043,           0.0026826,             0.95962,             0.98073,             0.98487,              0.8777,            0.013201,           0.0035896,           0.0017739,             0.00604,             0.00604,             0.00604
                  42,            0.016785,           0.0053364,           0.0025408,             0.95726,             0.97273,              0.9886,             0.90758,            0.011379,           0.0034573,           0.0017142,            0.005941,            0.005941,            0.005941
                  43,            0.016831,           0.0052425,           0.0023903,             0.95695,             0.99091,             0.98433,             0.89149,            0.010895,           0.0032256,           0.0017047,            0.005842,            0.005842,            0.005842
                  44,            0.016758,           0.0049429,           0.0023288,             0.95698,             0.98192,             0.98246,             0.90137,            0.012202,           0.0034388,           0.0018077,            0.005743,            0.005743,            0.005743
                  45,            0.016293,           0.0049802,           0.0022653,             0.94819,             0.98781,             0.98078,             0.87882,            0.012457,           0.0032911,           0.0016891,            0.005644,            0.005644,            0.005644
                  46,            0.015914,           0.0049097,           0.0023493,             0.95511,             0.99091,             0.98515,             0.89752,            0.011223,            0.003226,            0.001574,            0.005545,            0.005545,            0.005545
                  47,            0.015504,           0.0050657,           0.0023007,             0.95146,             0.97891,              0.9809,             0.90618,            0.012025,           0.0032995,           0.0015565,            0.005446,            0.005446,            0.005446
                  48,            0.015459,           0.0048284,           0.0022718,               0.956,             0.98354,             0.97841,             0.90451,            0.010822,           0.0033417,           0.0014739,            0.005347,            0.005347,            0.005347
                  49,            0.015153,           0.0047818,           0.0021385,               0.961,             0.98207,             0.98141,             0.89475,             0.01074,           0.0037084,           0.0015916,            0.005248,            0.005248,            0.005248
                  50,             0.01488,           0.0049583,           0.0020858,             0.95375,             0.97509,             0.98255,             0.91544,            0.011185,            0.003382,           0.0014558,            0.005149,            0.005149,            0.005149
                  51,            0.014961,           0.0048529,           0.0022475,             0.95048,             0.98387,             0.98249,             0.89757,            0.010597,           0.0032851,           0.0014555,             0.00505,             0.00505,             0.00505
                  52,            0.014693,           0.0049492,           0.0023834,             0.96194,             0.97639,              0.9881,              0.8966,            0.011077,           0.0032725,           0.0014642,            0.004951,            0.004951,            0.004951
                  53,            0.014095,           0.0046151,           0.0021022,             0.95835,             0.97463,             0.98274,             0.90438,            0.011195,           0.0033905,           0.0014746,            0.004852,            0.004852,            0.004852
