               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10942,            0.039376,            0.064073,          0.00052411,            0.083333,           0.0007607,           7.607e-05,            0.052222,            0.028412,            0.044584,              0.0874,              0.0014,              0.0014
                   1,            0.082243,            0.032816,            0.059742,           0.0040679,             0.83333,            0.028169,           0.0088194,            0.040078,            0.023854,            0.042639,            0.073843,           0.0028426,           0.0028426
                   2,            0.062785,            0.030093,            0.061238,           0.0041286,                   1,             0.11229,            0.032358,            0.038187,            0.018794,            0.041717,            0.060226,           0.0042258,           0.0042258
                   3,            0.056847,            0.024796,            0.061579,           0.0035395,                   1,              0.1057,            0.051617,            0.034374,            0.014914,            0.041267,             0.04655,           0.0055495,           0.0055495
                   4,            0.058361,            0.024235,            0.058918,            0.018224,             0.33333,             0.09966,            0.047692,            0.044603,            0.011534,            0.040478,            0.032814,           0.0068139,           0.0068139
                   5,            0.055374,            0.020757,             0.05585,             0.85872,            0.083333,             0.23612,            0.098329,             0.04477,            0.010541,            0.039897,            0.019019,           0.0080189,           0.0080189
                   6,            0.049345,            0.022774,            0.056564,             0.46393,             0.31152,             0.34266,             0.17269,            0.037546,            0.009923,            0.040431,            0.008812,            0.008812,            0.008812
                   7,            0.055004,            0.018905,             0.05999,             0.40242,             0.33333,              0.3929,             0.27342,            0.024884,           0.0093597,             0.03874,            0.008812,            0.008812,            0.008812
                   8,             0.05749,            0.018569,            0.058042,             0.41055,              0.3091,             0.38834,             0.14372,            0.039243,           0.0080694,            0.037603,            0.008614,            0.008614,            0.008614
                   9,            0.050614,            0.016855,             0.05489,             0.23766,             0.34222,             0.35686,             0.20008,            0.034744,           0.0083431,            0.037746,            0.008416,            0.008416,            0.008416
                  10,            0.052328,            0.016081,            0.055779,              0.6314,               0.322,             0.48664,             0.23958,            0.030763,            0.007659,            0.035471,            0.008218,            0.008218,            0.008218
                  11,            0.047477,            0.016043,            0.056322,             0.32666,             0.38172,             0.46317,             0.23197,            0.032172,           0.0072001,            0.032293,             0.00802,             0.00802,             0.00802
                  12,             0.04657,            0.015129,            0.049764,             0.35866,             0.66667,             0.59308,             0.31232,             0.02471,           0.0070953,            0.032479,            0.007822,            0.007822,            0.007822
                  13,            0.046611,            0.013487,            0.051883,             0.31455,                0.75,             0.64053,             0.33794,              0.0281,           0.0065596,            0.031267,            0.007624,            0.007624,            0.007624
                  14,            0.041549,             0.01341,            0.048607,             0.91742,             0.23115,             0.36944,             0.17696,            0.036227,           0.0074096,            0.030888,            0.007426,            0.007426,            0.007426
                  15,            0.043365,            0.013778,            0.045818,             0.45226,                 0.5,             0.52379,             0.29016,            0.026409,           0.0080913,            0.029541,            0.007228,            0.007228,            0.007228
                  16,            0.045346,            0.014113,            0.046359,             0.64342,             0.53196,             0.67255,             0.37937,            0.026156,           0.0066508,            0.028296,             0.00703,             0.00703,             0.00703
                  17,            0.042065,             0.01387,            0.048211,             0.33454,             0.83333,             0.84101,             0.53593,            0.022466,           0.0077161,            0.027446,            0.006832,            0.006832,            0.006832
                  18,            0.038846,            0.013143,            0.047067,             0.69058,             0.66667,             0.88444,             0.47557,            0.033682,           0.0065028,            0.025455,            0.006634,            0.006634,            0.006634
                  19,            0.040018,            0.012322,            0.041107,             0.53908,                0.75,              0.8499,             0.51319,            0.023642,           0.0061486,            0.024416,            0.006436,            0.006436,            0.006436
                  20,            0.046425,            0.012317,             0.04431,             0.82983,             0.66667,             0.82917,             0.49474,            0.018429,           0.0059756,            0.021951,            0.006238,            0.006238,            0.006238
                  21,            0.036743,            0.011557,             0.03834,             0.82921,             0.66667,             0.84299,             0.43825,            0.026219,            0.006078,            0.019938,             0.00604,             0.00604,             0.00604
                  22,            0.040926,            0.012489,            0.037495,              0.5555,             0.83333,             0.91208,             0.50819,            0.026188,            0.005969,             0.01903,            0.005842,            0.005842,            0.005842
                  23,            0.040475,            0.011044,               0.037,               0.642,                0.75,             0.89826,             0.58733,            0.021885,           0.0061321,            0.017184,            0.005644,            0.005644,            0.005644
                  24,            0.038956,            0.012375,             0.03603,             0.54721,             0.91667,             0.91208,             0.63431,            0.020891,           0.0059035,            0.016858,            0.005446,            0.005446,            0.005446
                  25,            0.038683,            0.012878,            0.037194,             0.58192,             0.91667,             0.91208,             0.58917,            0.024111,           0.0059396,            0.015904,            0.005248,            0.005248,            0.005248
                  26,            0.042795,            0.011446,             0.03747,             0.60525,                   1,               0.995,             0.73151,            0.018733,            0.005601,            0.013953,             0.00505,             0.00505,             0.00505
                  27,            0.033728,            0.011099,            0.027295,             0.73108,                   1,               0.995,             0.62602,            0.024186,           0.0057575,            0.012336,            0.004852,            0.004852,            0.004852
                  28,            0.038718,            0.011823,            0.031345,              0.8104,             0.91667,               0.995,             0.64813,            0.022836,           0.0057508,            0.011837,            0.004654,            0.004654,            0.004654
                  29,            0.037932,            0.011733,            0.029439,             0.64512,                   1,               0.995,             0.72138,            0.018061,           0.0055912,            0.010542,            0.004456,            0.004456,            0.004456
                  30,            0.034267,           0.0099519,            0.026468,             0.64918,                   1,               0.995,             0.72181,              0.0209,           0.0054125,           0.0093929,            0.004258,            0.004258,            0.004258
                  31,             0.03286,            0.012063,            0.025869,             0.72076,             0.91667,               0.995,             0.62188,            0.023541,           0.0056925,             0.00881,             0.00406,             0.00406,             0.00406
                  32,            0.034048,            0.010844,            0.023852,             0.72044,                   1,               0.995,             0.63431,            0.019295,           0.0054816,            0.008516,            0.003862,            0.003862,            0.003862
                  33,            0.032244,            0.011016,            0.019289,             0.71398,                   1,               0.995,             0.71308,            0.017307,           0.0054368,           0.0079514,            0.003664,            0.003664,            0.003664
                  34,              0.0379,             0.01207,            0.028268,              0.8083,             0.91667,               0.995,             0.73796,            0.018785,           0.0054196,           0.0074369,            0.003466,            0.003466,            0.003466
                  35,            0.034385,           0.0097795,            0.021951,             0.88599,             0.91667,               0.995,             0.68821,            0.021731,           0.0053323,           0.0066164,            0.003268,            0.003268,            0.003268
                  36,            0.032139,            0.010456,            0.019653,             0.90043,             0.91667,               0.995,             0.65692,            0.020904,           0.0054229,           0.0061023,             0.00307,             0.00307,             0.00307
                  37,            0.036406,            0.011581,            0.021628,             0.80587,                   1,               0.995,             0.72137,            0.017556,           0.0054137,           0.0056378,            0.002872,            0.002872,            0.002872
                  38,            0.034288,            0.011199,            0.023388,             0.82354,                   1,               0.995,             0.72967,            0.018868,           0.0054753,           0.0053034,            0.002674,            0.002674,            0.002674
                  39,             0.03555,            0.010865,            0.020567,             0.85039,                   1,               0.995,             0.72414,            0.015792,           0.0054228,            0.004921,            0.002476,            0.002476,            0.002476
                  40,            0.032755,            0.010455,            0.018903,             0.87037,                   1,               0.995,             0.66333,             0.01667,           0.0055043,           0.0045172,            0.002278,            0.002278,            0.002278
                  41,            0.033999,            0.011479,            0.020146,             0.87572,                   1,               0.995,             0.76007,            0.017711,           0.0056325,           0.0041676,             0.00208,             0.00208,             0.00208
                  42,            0.034414,            0.011547,            0.021426,             0.86818,                   1,               0.995,             0.68268,            0.018107,           0.0055723,           0.0038681,            0.001882,            0.001882,            0.001882
                  43,            0.030407,            0.010965,            0.016982,             0.86913,                   1,               0.995,             0.70479,            0.016854,           0.0052714,           0.0036385,            0.001684,            0.001684,            0.001684
                  44,            0.030097,            0.010386,             0.01703,             0.86473,                   1,               0.995,             0.75454,            0.017374,           0.0052313,           0.0035108,            0.001486,            0.001486,            0.001486
                  45,            0.027283,            0.010412,            0.015073,             0.85969,                   1,               0.995,             0.76283,            0.016008,           0.0052083,           0.0032639,            0.001288,            0.001288,            0.001288
